Bac,Rep,inhibition
FBKN001,1,38
FBKN001,2,43.14
FBKN001,3,40
FBKN001,4,40.38
FNPM001,1,42.55
FNPM001,2,36.59
FNPM001,3,33.33
FNPM001,4,35
FNPM002,1,47.62
FNPM002,2,42.5
FNPM002,3,46.34
FNPM002,4,43.9
FNPM003,1,13.95
FNPM003,2,6.82
FNPM003,3,2.44
FNPM003,4,4.65
FNPM004,1,33.33
FNPM004,2,34.88
FNPM004,3,38.1
FNPM004,4,34.15
FNPM005,1,33.33
FNPM005,2,38.3
FNPM005,3,34.78
FNPM005,4,33.33
FNPM006,1,31.25
FNPM006,2,27.66
FNPM006,3,28.26
FNPM006,4,27.66
FMKM001,1,39.13
FMKM001,2,33.33
FMKM001,3,30.43
FMKM001,4,28.26
FSKN001,1,50
FSKN001,2,48.78
FSKN001,3,36.84
FSKN001,4,34
FSKN002,1,56.14
FSKN002,2,58.73
FSKN002,3,56.45
FSKN002,4,58.06
FSKN003,1,53.33
FSKN003,2,50.88
FSKN003,3,48.21
FSKN003,4,48.21
FSKN004,1,43.18
FSKN004,2,48
FSKN004,3,43.75
FSKN004,4,52.73
FSKN005,1,75.71
FSKN005,2,74.29
FSKN005,3,74.29
FSKN005,4,72.86
FSKN006,1,21.57
FSKN006,2,30.91
FSKN006,3,24
FSKN006,4,26.92
FSKN007,1,71.43
FSKN007,2,64.29
FSKN007,3,49.09
FSKN007,4,48.21
FNKI001,1,41.82
FNKI001,2,37.25
FNKI001,3,43.4
FNKI001,4,40.38
FNKI002,1,45.28
FNKI002,2,40.38
FNKI002,3,39.22
FNKI002,4,41.51
FNKI003,1,35.85
FNKI003,2,38.89
FNKI003,3,39.22
FNKI003,4,40.74
FNKI004,1,32.61
FNKI004,2,26.09
FNKI004,3,34.78
FNKI004,4,34.78
FNKI005,1,30.91
FNKI005,2,35.85
FNKI005,3,32.69
FNKI005,4,31.48
FNKI006,1,31.37
FNKI006,2,32.69
FNKI006,3,37.74
FNKI006,4,32
FNBP001,1,50
FNBP001,2,46.15
FNBP001,3,41.67
FNBP001,4,47.17
FNBP002,1,50.82
FNBP002,2,24.44
FNBP002,3,23.91
FNBP002,4,20
FUDN001,1,64.29
FUDN001,2,68.57
FUDN001,3,65.71
FUDN001,4,65.71
FUDN002,1,45.65
FUDN002,2,44.44
FUDN002,3,41.3
FUDN002,4,48.98
FUDN003,1,31.82
FUDN003,2,51.11
FUDN003,3,48.84
FUDN003,4,52
FUDN004,1,62.86
FUDN004,2,60
FUDN004,3,58.33
FUDN004,4,58.33
FUDN005,1,46.51
FUDN005,2,58.73
FUDN005,3,64.29
FUDN005,4,64.29
FUDN006,1,38.78
FUDN006,2,40.38
FUDN006,3,46.3
FUDN006,4,44.23
